; data shows sum on next-to-last byte,
; which also looks like parity (CRC-8, poly 1):
;
; Found: add_bytes(&b[0], 7) + b[7] == 0xfc; // (100.0%)
; Found: crc8(&b[0], 7, 0x01, 0x00) ^ b[7] == 0; // (100.0%)

0x77, 0xa7, 0x80, 0x51, 0x88, 0x58, 0x7f, 0xae, 0x2a
0x77, 0xa7, 0x80, 0x52, 0x88, 0x58, 0x7f, 0xad, 0x1b
0x77, 0xa7, 0x80, 0x53, 0x88, 0x58, 0x7f, 0xac, 0x0a
0x77, 0xa7, 0x80, 0x54, 0x88, 0x58, 0x7f, 0xab, 0xf7
0x77, 0xa7, 0x80, 0x55, 0x88, 0x58, 0x7f, 0xaa, 0xe6
0x77, 0xa7, 0x80, 0x56, 0x88, 0x58, 0x7f, 0xa9, 0xd7
0x77, 0xa7, 0x80, 0x57, 0x88, 0x58, 0x7f, 0xa8, 0xc6
0x77, 0xa7, 0x80, 0x58, 0x88, 0x58, 0x7f, 0xa7, 0xbb
0x77, 0xa7, 0x80, 0x59, 0x88, 0x58, 0x7f, 0xa6, 0xaa
0x77, 0xa7, 0x80, 0x60, 0x88, 0x58, 0x7f, 0x9f, 0x2c
0x77, 0xa7, 0x80, 0x61, 0x88, 0x58, 0x7f, 0x9e, 0x1b
0x77, 0xa7, 0x80, 0x62, 0x88, 0x58, 0x7f, 0x9d, 0x0c
0x77, 0xa7, 0x80, 0x63, 0x88, 0x58, 0x7f, 0x9c, 0xfb
0x77, 0xa7, 0x80, 0x64, 0x88, 0x58, 0x7f, 0x9b, 0xe8
0x77, 0xa7, 0x80, 0x65, 0x88, 0x58, 0x7f, 0x9a, 0xd7
0x77, 0xa7, 0x80, 0x66, 0x88, 0x58, 0x7f, 0x99, 0xc8
0x77, 0xa7, 0x80, 0x67, 0x88, 0x58, 0x7f, 0x98, 0xb7
0x77, 0xa7, 0x80, 0x68, 0x88, 0x58, 0x7f, 0x97, 0xac
0x77, 0xa7, 0x80, 0x69, 0x88, 0x58, 0x7f, 0x96, 0x9b
0x77, 0xa7, 0x80, 0x71, 0x88, 0x58, 0x7f, 0x8e, 0x0a
0x78, 0xa7, 0x80, 0x34, 0x87, 0x58, 0x7f, 0xcb, 0x00
0x78, 0xa7, 0x80, 0x35, 0x87, 0x58, 0x7f, 0xca, 0xff
0x78, 0xa7, 0x80, 0x36, 0x87, 0x58, 0x7f, 0xc9, 0xe0
0x78, 0xa7, 0x80, 0x37, 0x87, 0x58, 0x7f, 0xc8, 0xdf
0x78, 0xa7, 0x80, 0x39, 0x87, 0x58, 0x7f, 0xc6, 0xb3
0x78, 0xa7, 0x80, 0x40, 0x87, 0x58, 0x7f, 0xbf, 0x31
0x78, 0xa7, 0x80, 0x41, 0x87, 0x58, 0x7f, 0xbe, 0x20
0x78, 0xa7, 0x80, 0x42, 0x87, 0x58, 0x7f, 0xbd, 0x11
0x78, 0xa7, 0x80, 0x45, 0x87, 0x58, 0x7f, 0xba, 0xec
0x78, 0xa7, 0x80, 0x46, 0x87, 0x58, 0x7f, 0xb9, 0xdd
0x78, 0xa7, 0x80, 0x47, 0x87, 0x58, 0x7f, 0xb8, 0xcc
0x78, 0xa7, 0x80, 0x48, 0x87, 0x58, 0x7f, 0xb7, 0xb1
0x78, 0xa7, 0x80, 0x49, 0x87, 0x58, 0x7f, 0xb6, 0xa0
0x78, 0xa7, 0x80, 0x50, 0x87, 0x58, 0x7f, 0xaf, 0x20
0x78, 0xa7, 0x80, 0x51, 0x87, 0x58, 0x7f, 0xae, 0x1f
0x78, 0xa7, 0x80, 0x52, 0x87, 0x58, 0x7f, 0xad, 0x00
0x78, 0xa7, 0x80, 0x53, 0x87, 0x58, 0x7f, 0xac, 0xff
0x78, 0xa7, 0x80, 0x54, 0x87, 0x58, 0x7f, 0xab, 0xec
